trip_number,trip_date,vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
170457415,2020-10-16,2293,18399,6001,60,0,W,18300,18399,0,832,1,0,4,0,4,0,0,161.141518,-122.68549333333333,45.595715,2,5
170457415,2020-10-16,2293,18775,6001,60,0,W, ,18775,0,1015,0,0,0,0,4,2.4016,2.465,146.730221,-122.6844,45.612743333333334,2,2
170457415,2020-10-16,2293,19058,6001,60,0,W,18900,19058,0,906,1,0,0,0,4,4.3521,4.5254,10.226513,-122.67052166666667,45.62622666666667,2,6
170457415,2020-10-16,2293,18677,6001,60,0,W,18600,18677,0,919,0,0,0,0,4,1.9909,2.017,110.339183,-122.68128666666667,45.61081,2,4
170457415,2020-10-16,2293,18601,6001,60,0,W, ,18601,0,918,0,0,0,0,4,1.605,1.6317,131.866522,-122.677285,45.611731666666664,2,2
170457422,2020-10-16,2293,19259,6001,60,1,W,19140,19246,13,1132,1,0,0,1,3,0.2896,0.3275,8.87134,-122.670455,45.630561666666665,2,4
170457422,2020-10-16,2293,19207,6001,60,1,W, ,19154,53,908,1,0,2,1,5,0.1572,0.1877,25.233821,-122.67053,45.62853833333333,2,2
170457422,2020-10-16,2293,19591,6001,60,1,W,19740,19591,0,832,1,0,0,2,0,3.2106,3.3287,51.13336,-122.68546333333333,45.59601833333333,2,6
170457422,2020-10-16,2293,19080,6001,60,1,W,18900,19080,0,906,1,0,1,0,5,0,0,10.226513,-122.67052166666667,45.62622666666667,2,5
170457422,2020-10-16,2293,21241,6001,60,1,W,20940,21106,135,1132,1,0,4,3,2,0.1765,0.3275,11.506314,-122.67043833333334,45.63051166666666,2,4
170457422,2020-10-16,2293,21049,6001,60,1,W, ,20917,132,908,1,0,2,2,0,0.0367,0.1877,41.48055,-122.67052166666667,45.628411666666665,2,2
